0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
40,40,[H]C(O)(C=O)COP(O)(O)=O.OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)).[H]C(=O)C(O)C(O)COP(O)(O)=O,,,0.0,8.076443344991414,1.5238095238095237,13.0,11.0,,,540.0046384059999,0.0,,,335.57,-5.126800000000001,,,1.0,6.069868398943173,1.3555555555555556,19.0,12.0,,,713.0036660239998,2.0,,,414.94000000000005,-4.3138200000000015
41,41,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,1.0,6.215104024094819,1.3571428571428572,23.0,15.0,,,877.0023592939997,3.0,,,510.64,-6.220330000000002,,,3.0,3.8635137092863587,1.5,23.0,14.0,,,769.1456264639999,5.0,,,422.13,-7.952229999999993
42,42,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O.O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O),,,1.0,6.619873179051277,1.4126984126984126,19.0,14.0,,,774.0088109799998,2.0,,,449.35,-4.6004200000000015,,,3.0,4.72806308448026,2.0,18.0,14.0,,,602.1459301499999,3.0,,,346.44,-8.499999999999993
43,43,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O.NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O),,,1.0,6.607506344894798,1.4126984126984126,20.0,14.0,,,773.0247953919998,2.0,,,455.4,-5.5920200000000015,,,2.0,5.901758204140651,1.75,16.0,12.0,,,542.124800782,2.0,,,313.82000000000005,-7.380799999999994
44,44,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O.O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,1.0,6.283933136354636,1.3571428571428572,20.0,14.0,,,798.0200443599997,3.0,,,458.05999999999995,-5.345730000000001,,,3.0,3.7513737198180497,1.5,24.0,14.0,,,833.1170423659996,5.0,,,448.42999999999995,-6.806029999999993
45,45,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O>>OCC(=O)COP(O)(O)=O.[H]C(=O)C(O)C(O)COP(O)(O)=O,,,2.0,2.114861902481824,1.0,11.0,8.0,,,342.11621152399994,2.0,,,189.53,-5.397199999999993,,,0.0,7.58330994168886,1.4666666666666668,10.0,8.0,,,400.017178516,0.0,,,248.58,-3.9640000000000004
46,46,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O).[H]O[H]>>OCC1OC(O)C(O)C(O)C1(O).OCC1OC(O)C(O)C(O)C1(O),,,1.0,1.504533286024158,0.6666666666666666,17.0,9.0,,,705.159443124,3.0,,,331.53,-3.4160299999999926,,,2.0,5.268817974123194,2.0,12.0,10.0,,,360.126776208,2.0,,,220.76,-6.442800000000001
47,47,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),,,3.0,2.847037490924253,0.976190476190476,31.0,15.0,,,1171.1121437180898,8.0,,,597.3899999999999,-6.317669999999996,,,2.0,4.356790715042997,1.3333333333333335,19.0,11.0,,,685.043483502,4.0,,,386.35,-5.451230000000001
48,48,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,2.0,3.2958435742593686,1.1666666666666665,32.0,17.0,,,1274.1109544239998,6.0,,,625.6899999999999,-4.912359999999998,,,1.0,3.3816449686599874,1.5,13.0,7.0,,,473.0712797519999,3.0,,,252.82999999999998,-2.5564300000000006
49,49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,,,1.0,4.795635005606359,1.3333333333333335,8.0,5.0,,,302.04028331000006,1.0,,,170.82,-2.691,,,1.0,4.887652231047161,0.8333333333333334,7.0,5.0,,,225.06104237600002,1.0,,,144.51999999999998,-3.1999
