SabioReactionID,Reaction,ECNumber,MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
36,OP(O)(O)=O.OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>[H]O[H].[H]C(=O)C(O)C(O)COP(O)(O)=O.CC(=O)OP(O)(O)=O,4.1.2.22,358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598555,4.0,9.0,8.0,157.998024574,-1.1825,115.33,0.0,0.0,9.0,0.0,0.5,3.740352517744469,1.0,2.0,3.0
41,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O>>OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),2.7.1.11,797.0360287719998,-5.5283,464.11,3.0,1.0,49.0,1.0,1.3571428571428572,6.09083724314797,16.0,14.0,22.0,797.0360287719998,-5.5283000000000015,464.11,3.0,1.0,49.0,1.0,1.3571428571428572,6.274346430698629,16.0,14.0,21.0
45,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O>>OCC(=O)COP(O)(O)=O.[H]C(=O)C(O)C(O)COP(O)(O)=O,4.1.2.13,370.0066138319999,-3.782300000000001,231.51,0.0,0.0,22.0,0.0,0.8571428571428571,4.525694623894094,10.0,8.0,9.0,370.006613832,-3.3265000000000007,228.35,0.0,0.0,22.0,0.0,1.4166666666666663,7.347423334333467,9.0,7.0,9.0
46,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O).[H]O[H]>>OCC1OC(O)C(O)C(O)C1(O).OCC1OC(O)C(O)C(O)C1(O),3.2.1.23,360.1267762079999,-6.221899999999993,221.03,2.0,2.0,24.0,2.0,1.0,2.114861902481824,4.0,8.0,11.0,360.126776208,-6.442800000000001,220.76,2.0,2.0,24.0,2.0,2.0,5.268817974123194,2.0,10.0,12.0
47,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),2.7.1.23,1171.1121437180898,-4.644899999999998,597.3899999999999,8.0,3.0,75.0,3.0,0.976190476190476,2.847037490924253,19.0,15.0,31.0,1171.1121437180896,-4.644899999999998,597.3899999999999,8.0,3.0,75.0,3.0,0.976190476190476,2.957972815791668,19.0,15.0,30.0
48,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),2.7.1.24,1194.1446239019997,-3.4113,579.16,6.0,2.0,75.0,2.0,1.1666666666666663,3.1939426862248825,24.0,16.0,31.0,1194.144623902,-3.411299999999998,579.16,6.0,2.0,75.0,2.0,1.1666666666666663,3.355085980863179,24.0,16.0,30.0
49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,1.1.1.21,790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0,789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095235,3.3872537576364,13.0,9.0,20.0
49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,1.1.1.1,790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0,789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095235,3.3872537576364,13.0,9.0,20.0
49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,1.1.1.2,790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0,789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095235,3.3872537576364,13.0,9.0,20.0
49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,1.1.1.184,790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0,789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095235,3.3872537576364,13.0,9.0,20.0
