,SabioReactionID,Reaction
15652,15652,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCCCC1=CC(=CC(=C1)O)O
15653,15653,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCC1=CC(=CC(=C1)O)O
15654,15654,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.C[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@H]1O)C>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.C[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@H]1OC(=O)C)C
15655,15655,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(Cc1ccc(O)cc1)C(O)=O>>OP(O)(=O)OP(O)(O)=O.C1=CC(=CC=C1C[C@@H](COP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)N)O
15656,15656,NC(CO)C(O)=O>>O=C=O.NCCO
15657,15657,NC(CO)C(O)=O>>O=C=O.NCCO
15660,15660,[H]O[H].CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)C(O)=O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.OC(=O)CC(O)C(O)=O
15669,15669,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.CC1=CN(C(=O)NC1(=O))C3CC(O)C(COP(O)(=O)OP(O)(=O)OC2OC(C)C(N)C(O)C2(O))O3>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.CC(=O)NC3C(C)OC(OP(O)(=O)OP(O)(=O)OCC1OC(CC1(O))N2C=C(C)C(=O)NC2(=O))C(O)C3(O)
15690,15690,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCCCCCC>>O=C=O.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC
15691,15691,NCCCNCC[C@H](N)C(O)=O>>O=C=O.NCCCNCCCN
15692,15692,C(C[C@@H](C(=O)O)N)CNCCCN>>O=C=O.NCCCCNCCCN
15693,15693,NCCC(N)C(O)=O>>O=C=O.NCCCN
15694,15694,CC[C@@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O>>O=C=O.CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
15697,15697,[H]O[H].CCCC1C(=O)NC(=O)N1>>CCCC(C(=O)O)NC(=O)N
15700,15700,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).CCC(c1ccc(O)cc1)=C(CC)c2ccc(O)cc2.CCC(c1ccc(O)cc1)=C(CC)c2ccc(O)cc2.CCC(c1ccc(O)cc1)=C(CC)c2ccc(O)cc2>>Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).CC/C(=C(/CC)\C1=CC=C(C=C1)OS(=O)(=O)O)/C2=CC=C(C=C2)O.CC/C(=C(/CC)\C1=CC=C(C=C1)OS(=O)(=O)O)/C2=CC=C(C=C2)O.CC/C(=C(/CC)\C1=CC=C(C=C1)OS(=O)(=O)O)/C2=CC=C(C=C2)O
15707,15707,Oc1ccc(cc1)C(O)=O.CC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O>>OP(O)(=O)OP(O)(O)=O.CC(=CCC/C(=C/CC1=C(C=CC(=C1)C(=O)O)[O-])/C)C
15711,15711,NC=1NC(=O)C=2N=C(CNC=2(N=1))C(O)C(O)CO.NC=1NC(=O)C=2N=C(CNC=2(N=1))C(O)C(O)CO>>C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](CO)O)O.C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](CO)O)O
15712,15712,C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](CO)O)O>>OCC=O.Nc1nc(O)c2N=C(CO)CNc2(n1)
15713,15713,NC=1NC(=O)C=2N=C(CNC=2(N=1))C(O)C(O)COP(O)(=O)OP(O)(=O)OP(O)(O)=O>>C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
15715,15715,O=Cc1ccccc1>>C1=CC=C(C=C1)[C@H](C(=O)C2=CC=CC=C2)O
15716,15716,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.F[P-](F)(F)(F)(F)F.[Fe+3]>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)C=4CCCCC=4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2].F[P-](F)(F)(F)(F)F
15717,15717,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)C=4CCCCC=4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.F[P-](F)(F)(F)(F)F.[Fe+3]>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)C=4C=CCCC=4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2].F[P-](F)(F)(F)(F)F
15718,15718,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)C=4C=CCCC=4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.F[P-](F)(F)(F)(F)F.[Fe+3]>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)c4ccccc4.[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2].F[P-](F)(F)(F)(F)F
15731,15731,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.C([C@@H]([C@@H]([C@H]([C@@H](C=O)O)O)O)O)O>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].C([C@H]1[C@@H]([C@H]([C@@H](C(=O)O1)O)O)O)O
15732,15732,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OC1C(O)C(O)C(O)C(O)C1(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].OC1C(O)C(O)C(=O)C(O)C1(O)
15733,15733,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OC1C(O)C(O)C(O)C(O)C1(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[C@H]1([C@H](C(=O)[C@H]([C@H](C1O)O)O)O)O
15734,15734,[H]O[H].CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O)N>>CC(C)CC(N)C(O)=O.NC(Cc1ccc(O)cc1)C(O)=O
15738,15738,[H]O[H].NC(=N)NCCCC(N)C(=O)N5CCCC5(C(=O)N4CCCC4(C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)N3CCCC3(C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(N)=N)C(O)=O)))>>NC(=N)NCCCC(N)C(O)=O.C1CC(NC1)C(=O)N2CCCC2C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O
15749,15749,[Na+].OC(=O)CCCC(O)=O>>[Na+].OC(=O)CCCC(O)=O
15756,15756,[H]O[H].C(CSC(F)(F)F)[C@@H](C(=O)O)N>>[H]N([H])[H].CCC(=O)C(O)=O.C(F)(F)(F)S
15764,15764,[H]O[H].CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](COC([*])=O)COP([O-])(=O)OCC[NH3+]>>CCCCCC=CCC=CCCCCCCCC(O)=O.[*]C(=O)OCC(O)COP(O)(=O)OCCN
15771,15771,O=O.O=O.COc1cccc(OC)c1(O).COc1cccc(OC)c1(O)>>[H]O[H].[H]O[H].COC1=CC(=C2C=C(C(=O)C(=C2)OC)OC)C=C(C1=O)OC.COC1=CC(=C2C=C(C(=O)C(=C2)OC)OC)C=C(C1=O)OC
15805,15805,O=O.N#C[Fe+2](C#N)(C#N)(C#N)(C#N)C#N>>[H]O[H].N#C[Fe+3](C#N)(C#N)(C#N)(C#N)C#N
15806,15806,[H].[I-].O=O>>[H]O[H].II
15812,15812,O=O.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-]>>CN(C)C1=CC=C(C=C1)O.CN(C)C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
15814,15814,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O.C(CO)[C@H](C(=O)O)N>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.C(COC(=O)CCC(=O)O)[C@@H](C(=O)O)N
15815,15815,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O.C(CN)CO>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C(CCC(=O)O)OCCCN
15816,15816,NC(CO)C(O)=O.CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.C(CC(=O)OC[C@@H](C(=O)O)N)C(=O)O
15823,15823,CC(=C)CCOP(O)(=O)OP(O)(O)=O.CC(C)=CCCC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O>>OP(O)(=O)OP(O)(O)=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O
15830,15830,[H]O[H].[*]NC1C(CC(O[*])(OC1(C(O)C(CO[*])O[*]))C(O)=O)O[*]>>[*]NC1C(CC(O[*])(OC1(C(O)C(CO[*])O[*]))C(O)=O)O[*]
15832,15832,[Na+].[H]C14(CC(O)CCC4(C)(C2CC(O)C3(C)(C(CCC3(C2(C(O)C1)))C(C)CCC(=O)NCCS(O)(=O)=O)))>>[Na+].[H]C14(CC(O)CCC4(C)(C2CC(O)C3(C)(C(CCC3(C2(C(O)C1)))C(C)CCC(=O)NCCS(O)(=O)=O)))
15836,15836,O=O.O=O.Cn1cc(c2c1cccc2)C[C@@H](C(=O)O)N.Cn1cc(c2c1cccc2)C[C@@H](C(=O)O)N>>CN(C=O)C1=CC=CC=C1C(=O)C[C@@H](C(=O)O)N.CN(C=O)C1=CC=CC=C1C(=O)C[C@@H](C(=O)O)N
15837,15837,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[H].C1=CC=C(C=C1)/C(=N/O)/N.C1=CC=C(C=C1)/C(=N/O)/N>>c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H].[H]O[H].NC(=N)c1ccccc1.NC(=N)c1ccccc1
15838,15838,[H]O[H].CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)NC(=O)C)O)NC(=O)C)O)NC(=O)C>>CC1=CC(=O)Oc2cc(O)ccc12.CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)NC(=O)C)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)NC(=O)C)O)CO)CO)O)O
15839,15839,O=O.COC1=CC2=C(C=C1)NC=C2CC(C(=O)O)N>>COc1cc(c(/N=C/O)cc1)C(=O)CC(N)C(=O)O
15849,15849,[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C
15850,15850,[Na+].CC(C(C)C(=O)O)C(=O)O>>[Na+].CC(C(C)C(=O)O)C(=O)O
15854,15854,[H]O[H].CS(=O)(=O)OCCCCCCCCCCCCCCCC(=O)OC1=CC=C(C=C1)[N+](=O)[O-]>>Oc1ccc(cc1)[N+](=O)[O-].CS(=O)(=O)OCCCCCCCCCCCCCCCC(=O)O
15856,15856,[H]O[H].C1=CC(=CC=C1C(=O)[O-])C(=O)OCCO>>OCCO.OC(=O)c1ccc(cc1)C(O)=O
15857,15857,[H]O[H].C1=CC(=CC=C1C(=O)OCCO)C(=O)OCCO>>OCCO.C1=CC(=CC=C1C(=O)[O-])C(=O)OCCO
15860,15860,C=Cc2c(C)c1Cc5nc(Cc4nc(Cc3nc(Cc2(n1))c(C)c3(C=C))c(C)c4(CCC(O)=O))c(CCC(O)=O)c5(C).CC1=CC(=O)c2ccccc2(C1(=O))>>C=Cc2c(C)c1cc5nc(cc4nc(cc3nc(cc2(n1))C(C)=C3(C=C))c(C)c4(CCC(=O)O))C(CCC(O)=O)=C5(C).Cc1cc(O)c2ccccc2(c1(O))
15861,15861,C=Cc2c(C)c1Cc5nc(Cc4nc(Cc3nc(Cc2(n1))c(C)c3(C=C))c(C)c4(CCC(O)=O))c(CCC(O)=O)c5(C).CC1=CC(=O)c2ccccc2(C1(=O)).Cc1cc(O)c2ccccc2(c1(O))>>C=Cc2c(C)c1cc5nc(cc4nc(cc3nc(cc2(n1))C(C)=C3(C=C))c(C)c4(CCC(=O)O))C(CCC(O)=O)=C5(C)
15863,15863,O=C1NC=Nc2ncnc12>>O=C1NC=Nc2ncnc12
15867,15867,[H]O[H].CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(O)=O>>OP(O)(O)=O.CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O
15870,15870,[H]O[H].CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)O)O>>OP(O)(O)=O.CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)CO
15871,15871,[H]O[H].CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)O)O>>OP(O)(O)=O.CCCCCCCCCCCCCCCCCCOCC(O)CO
15873,15873,[H]O[H].CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O>>OP(O)(O)=O.CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)([O-])[O-])/C)/C)/C)C
15876,15876,[H]O[H].C1=CC=C2C(=C1)N=C(S2)C3=NC4=C(S3)C=C(C=C4)OP(=O)(O)O>>OP(O)(O)=O.C1=CC=C2C(=C1)N=C(S2)C3=NC4=C(S3)C=C(C=C4)O
15885,15885,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
15886,15886,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
15887,15887,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
15889,15889,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
15890,15890,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.O=C=O.CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
15893,15893,OS(O)(=O)=O>>OS(O)(=O)=O
15898,15898,[H]O[H].NC=1NC(=O)C(NC=O)=C(N=1)NC2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)>>OP(O)(=O)OP(O)(O)=O.OC=O.Nc1nc(O)c(N)c(n1)NC2OC(COP(O)(O)=O)C(O)C2(O)
15904,15904,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).Oc1ccc2ccccc2(c1)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).C1=CC=C2C=C(C=CC2=C1)OS(=O)(=O)O
15905,15905,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).COc1ccccc1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).COC1=CC=CC=C1OS(=O)(=O)O
15906,15906,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OS(O)(=O)=O)C(OP(O)(O)=O)C2(O)).CC(=O)N(O)c3ccc2c(Cc1ccccc12)c3>>Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(OP(O)(O)=O)C2(O)).CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)OS(=O)(=O)O
15910,15910,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).NC1C(O)C(O)C(CO)OC1(OP(O)(O)=O)>>OP(O)(=O)OP(O)(O)=O.NC3C(O)C(O)C(CO)OC3(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))
