SabioReactionID	ECNumber
10911	3.4.22.10
6586	3.1.2.20
6775	1.1.1.2
12860	4.1.3.39
6581	3.1.2.20
16401	-
13221	2.4.1.37
15051	1.13.11
10660	1.3.1.20
13671	3.6.1.56
6663	1.5.99.12
13541	1.14.14.91
10393	6.3.3.2
1619	1.4.1.8
12867	4.2.3
3040	2.4.1.195
4779	2.1.1.128
11857	3.4.21.20
16149	2.1.1.262
6835	2.5.1.46
6490	1.2.1.5
5444	1.14.14.103
13776	3.4.16.5
11301	3.2.2.6
13495	1.14.18.1
2310	1.10.3.2
7978	3.5.3.1
8912	2.4.1.234
13082	3.2.1.91
7910	1.1.1
1851	3.1.3.2
10392	1.1.1.14
7891	1.1.1.184
7248	3.8.1.5
16016	1.14.14.127
33	2.6.1.16
2007	1.14.13.9
14947	3.2.1.23
6477	1.11.1.16
10012	1.1.1.2
15406	-
8114	3.1.1.8
11980	1.1.1.51
75	3.1.3.29
8044	1.1.1.10
16084	1.14.13
9610	1.1.1
6608	3.5.2.6
7755	1
932	2.7.7.64
7318	2.7.2.1
11743	3.4.21
13617	-
12223	3.1.4.16
9955	3.1.3.29
8162	3.4.13
14486	3.4.24.18
12713	2.1.1
13051	2.5.1.32
10480	1.14.15.15
3855	5.3.2.6
13168	3.2.1.55
2450	1.3.1.20
14461	2.3.1.118
16439	4.2.3.20
12899	1
6491	3.5.2.6
12097	1.3.1.20
1936	1.1.1.282
15869	3.1.3.76
13659	3.4.21
762	2.4.2
4977	3.8.1
7078	1.11.1.7
14765	3.1
15496	2.7.1.161
3189	1.14.13.242
16068	2.7.7.48
14778	2.3.1
10469	6.3.2.2
13323	3.5.2.16
6915	2.7.1.2
12235	1.17.4.2
14982	5.3.99.2
574	3.5.3.1
1843	1.5.1.30
14392	2.4.1.202
14604	2.1.1.212
13663	3.4.21.59
15514	1.1.1
113	1.1.1.299
13363	3.5.1.88
12715	2.1.1.128
1618	3.2.1.8
13226	-
13468	-
9625	6.3.2.4
7021	1.11.1.14
7803	1.1.1.21
11643	3.1.4.1
13228	-
12722	3.2.1.1
9610	1.1.1.86
12853	1.1.1.345
422	2.7.4.6
10115	1.1.1.188
6738	1.3.8.7
14993	1.1.1
14701	6.3.5.9
13342	1.1.1.44
1253	1.2.1.27
10074	3.5.2.6
14724	2.4.1
8012	2.4.1.17
10500	3.1.3.5
13327	3.5.2
6561	3.2.1.55
13479	3.4.21.42
15430	2.3.1.87
11402	-
16496	7.6.2.5
9576	1.14.14.1
7971	3.1.3.36
853	1.3.8
10380	2.6.1.15
16366	1.14.14 1.6.2
15266	-
12885	1.8.1.14
11410	-
13493	5.5.1.6
6852	3.8.1.5
16240	6.3.2
15397	4.1.2.54
6989	3.2.1.55
10534	3.8.1
12417	3.1.1.1
6847	3.2.1.85
13114	3.4.14.5
6705	3.5.2.6
16463	6.3.2
11645	3.1.4.1
16285	2.7.11.13
5276	1.1.1.21
13644	3.2.2.21
8165	1.2.4.2 2.3.1.61 1.8.1.4
133	2.4.2.28
8635	1.11.1.1
2597	2.7.1.60
2297	1.1.1.209
5320	1.14.14.55
15287	2.7.7.7
7069	2.7.7.7
7116	2.6.1.19
10108	-
7242	3.1.3
12083	3.4.23.41
1726	4.1.2.52
10951	6.2.1.2
1687	2.7.2.3
12855	1.1.1.292
2892	4.2.1.17
15478	2.7.1.121
16278	1.2.4.1 2.3.1.12 1.8.1.4
9833	1.2.1.5
1441	5.1.3.8
11727	2.7.1.1
3564	1.14.11
14168	1.2.3.1
2763	2.7.11.14
7013	1.2.1.12
1865	4.1.2.47
6619	1.1.99.31
11764	1.1.1.2
2910	2.5.1.15
15546	1.14.99.51
13395	-
14662	-
14397	2.7.4.21
1338	4.1.2.40
11540	1.1.1.150
12163	1.14.12.17
5381	3.1.3.70
10337	2.4.1.173
9527	4.1.2.8
12139	1.14.15.15
11222	2.7.1.76
7042	1.2.1.12
12583	3
3155	2.4.2.19
10863	1.1.1.n11
7907	1.1.1.2
1050	4.1.1.86
11830	3.4.22.2
6703	1.1.1.2
14249	1.1.99.36
13713	3.4.21.62
1422	3.1.3.25
5703	4.2.3.20
2424	3.1.3.74
11398	1.6.5.11
13251	3.4.19.12
12220	1.14.13.84
1035	2.1.1.10
10909	3.4.22.10
9571	3.1.3
16112	-
15073	1.1.1.50
11209	1.1.1.62
12111	3.1.1.17
10527	2.7.1.74
9844	3.2.1.45
10203	3.5.2.6
13762	2.4.1.13
7647	1.3.1.104
10623	1.1.1.149
16176	3.1.4.4
14258	1.1.99.36
10282	3.5.1.23
7210	6.3.2.2
11268	1.14.18.1
12748	1.1.1.1
12421	3.1.1.1
520	1.2.1.22
6746	3.1.2.2
7255	-
12171	1.11
2207	1.5.1.33
108	1.1.1.44
13115	3.2.1.18
10584	3.4.13
90	2.7.1.145
7810	5.1.1
11536	1.1.1.150
4116	1.3.1.9
15463	3.4.11.9
14669	1.1.1.50
14183	3.2.1.18
3158	2.7.7.38
15233	2.8.2
1097	2.6.1.1
15194	-
11376	3.1.1.88
13137	2.7.7.72
10657	3.4.11
16110	-
3859	6.4.1.4
12891	3.5.1
11636	1.1.1
13163	3.1.1.1
945	3.1.2.6
16264	3.5.4
816	3.6.5.4
12138	2.5.1.31
2612	4.2.1.20
7829	1.1.1.188
16118	1.5.1.39
13307	3.2.1.152
10429	3.2.1.39
14815	2.4.1.344
258	1.3.5.1
10923	4.1.1.7
7967	3.5.2.6
5313	1.13.11.47
13754	2.7.11.1
1354	2.7.1.6
2500	2.4.1.111
7837	1.3.5.2
544	-
7658	1.3.1.44
13082	3.2.1.4
13635	3.1.3.16
10067	1.8.4.2
6294	2.1.1
7652	2.5.1.27
905	4.1.3.24
9833	1.2.1.24
15556	2.3.1.87
1109	4.1.2
16086	3.4.22
10634	1.1.1.149
11580	2.4.1.17
16242	6.3.2
8541	2.4.2.3
155	1.1.1
10409	2.5.1.18
12861	1.2.1.10
14444	3.4.11.1
1992	2.6.1.39
10300	1.1.3.7
12407	3.1.1.1
12419	3.1.1.43
14840	1.13.11.53
14534	1.1.1.291
8180	3.2.1.76
12287	2.7.7.69
257	1.3.5.4
13347	1.2.1.9
2314	2.3.1.76
9740	2.7.1.40
7884	2.8.2
15648	2.3.1.206
3893	2.6.1.52
10787	1.1.1.21
7291	1.14.13
6698	1.4.9.1
11756	3.4.17.1
14255	1.1.99.36
14085	1.14.11
14424	3.6.1.65
12000	3.2.1.23
15835	3.2.1.188
15232	2.8.2
1393	3.5.1.53
1308	1.1.2.8
12666	2.8.2
13503	2.1.1
15575	2.3.1.159
12212	1.14.13.84
3641	4.2.1.35
7920	1.1.1.146
3114	5.1.1.8
6502	1.1.1.287
14125	3.1.1.88
11499	1.3.8.8
9659	1.1.3.38
10703	3.2.1.26
3947	2.1.1.11
7243	3.3.2.9
1	5.3.1.9
7330	1.2.1.4
12333	3.4.17.12
454	3.6.1
11652	1.10.3.1
15108	1.13.11.11
9962	-
5874	1.14.14.86
6745	-
9673	4.2.1.107
14613	1.14.14.45
12887	3.2.1.84
16330	2.1.1.n7
6758	1.1.1.153
9833	1.2.1.36
9358	1.14.14.86
12829	2.7.1.138
13794	-
2428	1.1.1.184
6943	1.2.1.3
6687	2.2.1.6
15672	1.2.4.1
127	3.5.4.3
15117	1.13.11.11
16268	1.14
1516	3.1.2
2495	1.14.13.24
7811	-
15243	2.7.11.1
10151	3.5.1.4
2175	1.5.1.49
14852	-
1126	6.3.4.6
479	3.1.3.89
7756	1.5.1.3
7744	3.5.3.6
7741	1.4.1.21
12035	1.2.3.1
8135	3.5.1.11
13406	-
1280	4.1.3.27
15089	1.2.1.5
13211	1.14.14.25
2900	1.1.1.195
12395	3.6.4.10
15257	2.7.7.62
14808	1.11.1.16
12873	1.14.14.145
12012	5.1.1
6914	1.2.1.3
15665	2.3.1
7811	5.1.1.20
695	1.8.4.2
10386	2.6.1.15
4965	3.7.1.8
3296	4.1.1.48
858	4.4.1.1
15933	2.3.1.191
69	5.4.2.2
7254	3.2.1.114
15372	5.3.1.24
14503	3.4.24.18
13515	1.1.1.18
12949	2.4.2.6
444	3.1.3.2
7280	4.2.1.22
16476	7.2.2.10
3225	2.7.1.159
13848	3.4.24.27
15130	2.1.1.145
6580	3.1.2.2
8073	6.3.4.14
7776	2.4.2.29
5392	2.7.1.151
10862	1.6.5.5
12640	2.7.1.21
125	2.4.2.1
11201	2.6.1.15
15716	1.3.8.11
177	4.4.1.5
447	2.7.7.7
7150	1.14
6892	1.14.17.1
769	1.2.1.3
8063	3.2.1.41
14428	3.4.21
13187	6.1.1.15
