MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
230.019153942,-2.4653000000000005,136.68,1.0,1.0,14.0,1.0,1.0,2.4387072219898034,3.0,5.0,6.0,347.0630844179999,-1.8630000000000009,186.07,3.0,1.0,23.0,1.0,0.5,1.8511475274909783,4.0,5.0,10.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0,230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,566.0550205679999,-4.793699999999994,296.99,3.0,2.0,36.0,2.0,0.7333333333333333,1.6113646712462018,9.0,9.0,16.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,566.0550205679999,-4.793699999999994,296.99,3.0,2.0,36.0,2.0,0.7333333333333333,1.6113646712462018,9.0,9.0,16.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,566.0550205679999,-4.793699999999994,296.99,3.0,2.0,36.0,2.0,0.7333333333333333,1.6113646712462018,9.0,9.0,16.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,566.0550205679999,-4.793699999999994,296.99,3.0,2.0,36.0,2.0,0.7333333333333333,1.6113646712462018,9.0,9.0,16.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0
60.021129368,0.0908999999999999,37.3,0.0,0.0,4.0,0.0,0.5,2.8030394876740514,0.0,1.0,1.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
60.021129368,0.0908999999999999,37.3,0.0,0.0,4.0,0.0,0.5,2.8030394876740514,0.0,1.0,1.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
